id;name;status
1;Beauté et Parfum;ACTIVE
2;Hygiène et Santé;ACTIVE
3;Bébés & Puériculture;ACTIVE
4;Animalerie;ACTIVE
5;Alimentaire;ACTIVE
6;Cuisine & Maison;ACTIVE
7;Jeux et Jouets;ACTIVE
8;Équipement industriels;ACTIVE
9;Sports et Loisirs;ACTIVE
10;Bricolage & Jardin;ACTIVE
11;Livres, Culture & Musique;ACTIVE
12;Mode et Accessoires;ACTIVE
13;Jeux vidéo;ACTIVE
14;Auto et Moto;ACTIVE
15;High-Tech - Informatique;ACTIVE
16;Fournitures de bureau;ACTIVE
17;Luminaires et Eclairage;ACTIVE
18;Meubles - électroménager;ACTIVE
